[1772590378] [apply_action] freq=501 Hz, last_dt=1969 us
[1772590379] [apply_action] freq=500 Hz, last_dt=2040 us
[1772590380] [apply_action] freq=500 Hz, last_dt=2002 us
[1772590381] [apply_action] freq=501 Hz, last_dt=2011 us
[1772590382] [apply_action] freq=501 Hz, last_dt=2042 us
[1772590383] [apply_action] freq=500 Hz, last_dt=2017 us
[1772590384] [apply_action] freq=501 Hz, last_dt=1986 us
[1772590385] [apply_action] freq=501 Hz, last_dt=2008 us
[1772590386] [apply_action] freq=501 Hz, last_dt=2009 us
[1772590387] [apply_action] freq=501 Hz, last_dt=2000 us
[1772590388] [apply_action] freq=500 Hz, last_dt=2002 us
[1772590389] [apply_action] freq=501 Hz, last_dt=2009 us
[1772590390] [apply_action] freq=500 Hz, last_dt=2016 us
[1772590391] [apply_action] freq=501 Hz, last_dt=1989 us
[1772590392] [apply_action] freq=501 Hz, last_dt=2023 us
[1772590393] [apply_action] freq=501 Hz, last_dt=1983 us
[1772590394] [apply_action] freq=500 Hz, last_dt=1991 us
[1772590395] [apply_action] freq=500 Hz, last_dt=1972 us
[1772590396] [apply_action] freq=501 Hz, last_dt=2044 us
[1772590397] [apply_action] freq=501 Hz, last_dt=2093 us
[1772590398] [apply_action] freq=501 Hz, last_dt=1959 us
[1772590399] [apply_action] freq=500 Hz, last_dt=1980 us
[1772590400] [apply_action] freq=501 Hz, last_dt=1989 us
[1772590401] [apply_action] freq=501 Hz, last_dt=1993 us
[1772590402] [apply_action] freq=501 Hz, last_dt=2021 us
[1772590403] [apply_action] freq=501 Hz, last_dt=2047 us
[1772590404] [apply_action] freq=501 Hz, last_dt=2034 us
[1772590405] [apply_action] freq=501 Hz, last_dt=2004 us
[1772590406] [apply_action] freq=500 Hz, last_dt=1991 us
[1772590407] [apply_action] freq=501 Hz, last_dt=2018 us
[1772590408] [apply_action] freq=500 Hz, last_dt=1998 us
[1772590409] [apply_action] freq=501 Hz, last_dt=2016 us
[1772590410] [apply_action] freq=500 Hz, last_dt=2037 us
[1772590411] [apply_action] freq=501 Hz, last_dt=2084 us
[1772590412] [apply_action] freq=501 Hz, last_dt=1998 us
[1772590413] [apply_action] freq=501 Hz, last_dt=2002 us
[1772590414] [apply_action] freq=501 Hz, last_dt=1978 us
[1772590415] [apply_action] freq=500 Hz, last_dt=2026 us
[1772590416] [apply_action] freq=500 Hz, last_dt=1985 us
[1772590417] [apply_action] freq=501 Hz, last_dt=2039 us
[1772590418] [apply_action] freq=501 Hz, last_dt=2049 us
[1772590419] [apply_action] freq=501 Hz, last_dt=2011 us
[1772590420] [apply_action] freq=501 Hz, last_dt=1979 us
[1772590421] [apply_action] freq=501 Hz, last_dt=2002 us
[1772590422] [apply_action] freq=501 Hz, last_dt=1979 us
[1772590423] [apply_action] freq=500 Hz, last_dt=2019 us
[1772590424] [apply_action] freq=500 Hz, last_dt=2018 us
[1772590425] [apply_action] freq=501 Hz, last_dt=2081 us
[1772590426] [apply_action] freq=500 Hz, last_dt=2038 us
[1772590427] [apply_action] freq=501 Hz, last_dt=1972 us
[1772590428] [apply_action] freq=500 Hz, last_dt=1969 us
[1772590429] [apply_action] freq=500 Hz, last_dt=1954 us
[1772590430] [apply_action] freq=501 Hz, last_dt=2036 us
[1772590431] [apply_action] freq=501 Hz, last_dt=1992 us
[1772590432] [apply_action] freq=500 Hz, last_dt=1967 us
[1772590433] [apply_action] freq=500 Hz, last_dt=2018 us
[1772590434] [apply_action] freq=501 Hz, last_dt=2002 us
[1772590435] [apply_action] freq=501 Hz, last_dt=1978 us
[1772590436] [apply_action] freq=500 Hz, last_dt=1997 us
[1772590437] [apply_action] freq=500 Hz, last_dt=2004 us
[1772590438] [apply_action] freq=501 Hz, last_dt=2034 us
[1772590439] [apply_action] freq=501 Hz, last_dt=1994 us
[1772590440] [apply_action] freq=501 Hz, last_dt=1999 us
[1772590441] [apply_action] freq=501 Hz, last_dt=2038 us
[1772590442] [apply_action] freq=500 Hz, last_dt=1999 us
[1772590443] [apply_action] freq=501 Hz, last_dt=2035 us
[1772590444] [apply_action] freq=500 Hz, last_dt=2050 us
[1772590445] [apply_action] freq=501 Hz, last_dt=1959 us
[1772590446] [apply_action] freq=500 Hz, last_dt=1970 us
[1772590447] [apply_action] freq=500 Hz, last_dt=1959 us
[1772590448] [apply_action] freq=501 Hz, last_dt=2005 us
[1772590449] [apply_action] freq=501 Hz, last_dt=2004 us
[1772590450] [apply_action] freq=501 Hz, last_dt=2051 us
[1772590451] [apply_action] freq=501 Hz, last_dt=2013 us
[1772590452] [apply_action] freq=500 Hz, last_dt=2002 us
[1772590453] [apply_action] freq=501 Hz, last_dt=2008 us
[1772590454] [apply_action] freq=500 Hz, last_dt=2030 us
[1772590455] [apply_action] freq=501 Hz, last_dt=1999 us
[1772590456] [apply_action] freq=501 Hz, last_dt=2023 us
[1772590457] [apply_action] freq=500 Hz, last_dt=2007 us
[1772590458] [apply_action] freq=501 Hz, last_dt=2000 us
[1772590459] [apply_action] freq=501 Hz, last_dt=2083 us
